ACCESSION NO,AUTHOR,TITLE,Subtitle,YEAR,PAGE,PUBLISHER,SOURCE,BILL NO ,DATE,PRICE,,ISBN,Edition,Subject,Accompanying Material,Pages,Publisher,Year,
JR0029,,Mridang-1: Textbook in English for Class 1,,2023,122p.,NCERT,"Hema Book World, banglore",GWG/17979,03-01-2024,65,,978-93-52924-39-4,,English,,122,"NCERT, NEW DELHI",2023,
JR0030,,Mridang-1: Textbook in English for Class 1,,2023,122p.,NCERT,"Hema Book World, banglore",GWG/17980,03-01-2024,65,,978-93-52924-39-4,,English,,122,"NCERT, NEW DELHI",2023,
JR0031,,Mridang-1: Textbook in English for Class 1,,2023,122p.,NCERT,"Hema Book World, banglore",GWG/17981,03-01-2024,65,,978-93-52924-39-4,,English,,122,"NCERT, NEW DELHI",2023,
JR0032,,Mridang-1: Textbook in English for Class 1,,2023,122p.,NCERT,"Hema Book World, banglore",GWG/17982,03-01-2024,65,,978-93-52924-39-4,,English,,122,"NCERT, NEW DELHI",2023,
JR0033,,Joyful Mathematics-1: Textbook in Mathematics Class 1,,2023,130p.,NCERT,"Hema Book World, banglore",GWG/17983,03-01-2024,65,,978-93-52925-05-6,,Mathematics,,130,"NCERT, NEW DELHI",2023,
JR0034,,Joyful Mathematics-1: Textbook in Mathematics Class 1,,2023,130p.,NCERT,"Hema Book World, banglore",GWG/17984,03-01-2024,65,,978-93-52925-05-6,,Mathematics,,130,"NCERT, NEW DELHI",2023,
JR0035,,Joyful Mathematics-1: Textbook in Mathematics Class 1,,2023,130p.,NCERT,"Hema Book World, banglore",GWG/17985,03-01-2024,65,,978-93-52925-05-6,,Mathematics,,130,"NCERT, NEW DELHI",2023,
JR0036,,Joyful Mathematics-1: Textbook in Mathematics Class 1,,2023,130p.,NCERT,"Hema Book World, banglore",GWG/17986,03-01-2024,65,,978-93-52925-05-6,,Mathematics,,130,"NCERT, NEW DELHI",2023,
JR0037,,Joyful Mathematics-2: Textbook In Mathematics for Class 2,,2023,138p.,NCERT,"Hema Book World, banglore",GWG/17987,03-01-2024,65,,978-93-52924-26-4,,Mathematics,,138,"NCERT, NEW DELHI",2023,
JR0038,,Joyful Mathematics-2: Textbook In Mathematics for Class 2,,2023,138p.,NCERT,"Hema Book World, banglore",GWG/17988,03-01-2024,65,,978-93-52924-26-4,,Mathematics,,138,"NCERT, NEW DELHI",2023,
JR0039,,Joyful Mathematics-2: Textbook In Mathematics for Class 2,,2023,138p.,NCERT,"Hema Book World, banglore",GWG/17989,03-01-2024,65,,978-93-52924-26-4,,Mathematics,,138,"NCERT, NEW DELHI",2023,
JR0040,,Joyful Mathematics-2: Textbook In Mathematics for Class 2,,2023,138p.,NCERT,"Hema Book World, banglore",GWG/17990,03-01-2024,65,,978-93-52924-26-4,,Mathematics,,138,"NCERT, NEW DELHI",2023,
JR0041,,Sarangi-2: Textbook in Hindi for Class 2,,2023,132p.,NCERT,"Hema Book World, banglore",GWG/17991,03-01-2024,65,,978-93-52924-38-7,,Hindi,,132,"NCERT, NEW DELHI",2023,
JR0042,,Sarangi-2: Textbook in Hindi for Class 2,,2023,132p.,NCERT,"Hema Book World, banglore",GWG/17992,03-01-2024,65,,978-93-52924-38-7,,Hindi,,132,"NCERT, NEW DELHI",2023,
JR0043,,Sarangi-2: Textbook in Hindi for Class 2,,2023,132p.,NCERT,"Hema Book World, banglore",GWG/17993,03-01-2024,65,,978-93-52924-38-7,,Hindi,,132,"NCERT, NEW DELHI",2023,
JR0044,,Sarangi-2: Textbook in Hindi for Class 2,,2023,132p.,NCERT,"Hema Book World, banglore",GWG/17994,03-01-2024,65,,978-93-52924-38-7,,Hindi,,132,"NCERT, NEW DELHI",2023,
JR0045,,Mridang-2: Textbook In English for Class 2,,2023,110p.,NCERT,"Hema Book World, banglore",GWG/17995,03-01-2024,65,,978-93-52924-34-9,,English,,110,"NCERT, NEW DELHI",2023,
JR0046,,Mridang-2: Textbook In English for Class 2,,2023,110p.,NCERT,"Hema Book World, banglore",GWG/17996,03-01-2024,65,,978-93-52924-34-9,,English,,110,"NCERT, NEW DELHI",2023,
JR0047,,Mridang-2: Textbook In English for Class 2,,2023,110p.,NCERT,"Hema Book World, banglore",GWG/17997,03-01-2024,65,,978-93-52924-34-9,,English,,110,"NCERT, NEW DELHI",2023,
JR0048,,Mridang-2: Textbook In English for Class 2,,2023,110p.,NCERT,"Hema Book World, banglore",GWG/17998,03-01-2024,65,,978-93-52924-34-9,,English,,110,"NCERT, NEW DELHI",2023,
JR0049,,Math Magic Book 3: Textbook in Mathematics for Class 3,,2022,200p.,NCERT,"Hema Book World, banglore",GWG/17999,03-01-2024,65,,81-74505-10-5,,Mathematics,,200,"NCERT, NEW DELHI",2022,
JR0050,,Math Magic Book 3: Textbook in Mathematics for Class 3,,2022,200p.,NCERT,"Hema Book World, banglore",GWG/18000,03-01-2024,65,,81-74505-10-5,,Mathematics,,200,"NCERT, NEW DELHI",2022,
JR0051,,Math Magic Book 3: Textbook in Mathematics for Class 3,,2022,200p.,NCERT,"Hema Book World, banglore",GWG/18001,03-01-2024,65,,81-74505-10-5,,Mathematics,,200,"NCERT, NEW DELHI",2022,
JR0052,,Math Magic Book 3: Textbook in Mathematics for Class 3,,2022,200p.,NCERT,"Hema Book World, banglore",GWG/18002,03-01-2024,65,,81-74505-10-5,,Mathematics,,200,"NCERT, NEW DELHI",2022,
JR0053,,Rimjhim-3: Textbook in Hindi for Class 3,,2022,126p.,NCERT,"Hema Book World, banglore",GWG/18003,03-01-2024,65,,81-74504-74-5,,Hindi,,126,"NCERT, NEW DELHI",2022,
JR0054,,Rimjhim-3: Textbook in Hindi for Class 3,,2022,126p.,NCERT,"Hema Book World, banglore",GWG/18004,03-01-2024,65,,81-74504-74-5,,Hindi,,126,"NCERT, NEW DELHI",2022,
JR0055,,Rimjhim-3: Textbook in Hindi for Class 3,,2022,126p.,NCERT,"Hema Book World, banglore",GWG/18005,03-01-2024,65,,81-74504-74-5,,Hindi,,126,"NCERT, NEW DELHI",2022,
JR0056,,Rimjhim-3: Textbook in Hindi for Class 3,,2022,126p.,NCERT,"Hema Book World, banglore",GWG/18006,03-01-2024,65,,81-74504-74-5,,Hindi,,126,"NCERT, NEW DELHI",2022,
JR0057,,Looking Around-3: Textbook in EVS for Class 3,,2022,162p.,NCERT,"Hema Book World, banglore",GWG/18007,03-01-2024,65,,81-74504-90-7,,Enviornmental Studies,,162,"NCERT, NEW DELHI",2022,
JR0058,,Looking Around-3: Textbook in EVS for Class 3,,2022,162p.,NCERT,"Hema Book World, banglore",GWG/18008,03-01-2024,65,,81-74504-90-7,,Enviornmental Studies,,162,"NCERT, NEW DELHI",2022,
JR0059,,Looking Around-3: Textbook in EVS for Class 3,,2022,162p.,NCERT,"Hema Book World, banglore",GWG/18009,03-01-2024,65,,81-74504-90-7,,Enviornmental Studies,,162,"NCERT, NEW DELHI",2022,
